70	88	23	100	95
32	46	41	15	97
63	53	72	74	45
74	35	91	41	41
97	8	24	12	16
68	54	96	77	82
39	48	43	40	88
42	2	89	31	22
86	15	65	17	75
80	73	58	8	92
10	76	54	37	79
30	4	84	45	76
65	62	90	66	71
61	75	66	100	82
97	92	56	67	35
72	91	63	10	62
36	57	34	12	35
39	97	56	46	12
47	52	48	43	24
79	100	43	2	50
98	99	14	6	6
11	20	7	74	82
22	64	18	62	7
69	32	18	56	45
68	12	55	37	80
49	59	98	63	5
78	28	71	12	73
82	13	28	91	77
71	67	13	18	66
56	3	10	98	16
20	80	73	67	23
76	11	70	76	44
15	7	29	7	89
86	85	26	76	5
3	66	97	9	12
15	89	28	88	23
23	94	47	73	40
13	49	25	92	2
27	60	27	85	40
29	72	28	18	4
21	63	85	94	48
5	43	96	71	81
21	77	44	55	30
26	100	99	28	90
100	79	79	73	40
100	74	37	63	17
86	79	48	13	46
58	61	16	86	27
50	82	65	18	61
59	64	17	41	98
45	6	39	54	20
55	38	88	96	1
26	81	1	85	24
86	10	28	59	44
81	33	77	71	21
34	86	74	41	55
86	40	49	87	86
14	68	61	57	9
81	53	58	45	87
79	45	35	37	85
76	79	46	50	22
1	82	90	39	68
76	47	58	70	48
1	72	11	41	62
16	57	15	19	11
73	58	21	99	5
58	23	34	23	25
49	51	31	44	77
4	39	82	24	77
99	48	2	80	78
43	27	78	50	1
16	49	71	3	48
58	33	2	23	33
86	46	49	13	67
94	41	72	88	26
71	48	95	97	13
23	35	54	30	50
6	86	48	43	74
86	16	2	72	37
22	3	96	27	40
53	3	50	78	11
55	85	99	15	30
80	35	96	49	82
83	98	23	48	43
74	78	24	85	5
98	21	82	62	25
41	85	63	5	23
86	71	33	94	15
84	27	69	46	89
50	27	59	24	56
60	6	75	41	70
38	66	68	36	100
83	15	73	75	80
2	21	78	67	95
76	38	62	34	20
20	80	93	71	13
39	9	57	48	84
45	97	38	6	88
90	13	4	55	13
11	38	32	26	80
29	9	45	62	31
95	93	67	78	8
95	14	32	25	86
67	12	97	20	24
84	38	40	35	65
78	24	80	51	34
28	100	83	5	57
17	70	51	62	69
30	82	69	87	18
21	4	21	32	8
46	18	99	20	56
74	53	51	29	8
1	91	21	12	89
42	78	87	30	34
12	70	93	30	43
80	55	82	38	77
35	47	59	28	85
26	29	14	15	29
96	23	87	55	88
52	12	21	47	47
44	71	28	96	9
96	97	36	19	87
68	96	6	65	37
64	3	22	5	98
54	57	90	87	84
30	1	96	87	87
39	34	55	42	2
55	62	45	20	81
93	18	41	97	35
10	29	93	87	98
69	12	45	35	43
49	43	35	3	72
38	46	56	93	32
11	4	22	63	34
82	18	91	19	46
95	84	84	18	72
10	50	95	55	76
15	96	19	48	48
57	38	78	17	62
32	11	21	77	5
92	19	90	2	28
31	69	33	9	24
60	50	10	97	57
86	58	57	28	20
25	71	70	49	98
40	92	70	50	49
26	32	70	76	40
52	48	40	72	96
4	86	15	28	26
13	46	81	67	16
26	14	29	40	71
15	53	63	60	5
60	89	24	19	39
91	4	90	59	44
97	56	34	83	91
47	98	26	12	24
81	51	39	38	53
12	66	60	30	75
33	73	15	5	44
26	89	34	99	98
30	71	38	76	83
73	10	44	15	45
64	3	95	35	10
5	95	15	50	97
33	83	8	59	90
74	93	61	82	98
67	10	13	93	91
